record_id,record_name,source_id,source_type,total_fields,total_bytes,has_redefines,has_occurs
REC-DBTBLS-POSHIST-RECORD,POSHIST-RECORD,DBTBLS,copybook,18,0,False,False
REC-DBTBLS-ERRLOG-RECORD,ERRLOG-RECORD,DBTBLS,copybook,10,0,False,False
REC-SQLCA-SQL-STATUS-CODES,SQL-STATUS-CODES,SQLCA,copybook,7,0,False,False
REC-DB2REQ-DB2-REQUEST-AREA,DB2-REQUEST-AREA,DB2REQ,copybook,4,0,False,False
REC-ERRHND-ERROR-HANDLING,ERROR-HANDLING,ERRHND,copybook,9,0,False,False
REC-INQCOM-INQCOM-AREA,INQCOM-AREA,INQCOM,copybook,4,0,False,False
REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,PROCESS-SEQUENCE-RECORD,PRCSEQ,copybook,6,0,False,False
REC-PRCSEQ-STANDARD-SEQUENCES,STANDARD-SEQUENCES,PRCSEQ,copybook,3,0,False,False
REC-BCHCTL00_WS-WS-FILE-STATUS,WS-FILE-STATUS,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-WS-BCT-STATUS,WS-BCT-STATUS,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-WS-WORK-AREAS,WS-WORK-AREAS,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-WS-CURRENT-TIME,WS-CURRENT-TIME,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-WS-PREREQ-MET,WS-PREREQ-MET,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-PREREQS-SATISFIED,PREREQS-SATISFIED,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-PREREQS-PENDING,PREREQS-PENDING,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-WS-PROCESS-MODE,WS-PROCESS-MODE,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-MODE-INITIALIZE,MODE-INITIALIZE,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-MODE-CHECK-PREREQ,MODE-CHECK-PREREQ,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-MODE-UPDATE-STATUS,MODE-UPDATE-STATUS,BCHCTL00_WS,program_ws,1,0,False,False
REC-BCHCTL00_WS-MODE-FINALIZE,MODE-FINALIZE,BCHCTL00_WS,program_ws,1,0,False,False
REC-CKPRST_WS-WS-FILE-STATUS,WS-FILE-STATUS,CKPRST_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-FILE-STATUS,WS-FILE-STATUS,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-TH-STATUS,WS-TH-STATUS,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-BCT-STATUS,WS-BCT-STATUS,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-COUNTERS,WS-COUNTERS,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-RECORDS-READ,WS-RECORDS-READ,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-RECORDS-WRITTEN,WS-RECORDS-WRITTEN,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-ERROR-COUNT,WS-ERROR-COUNT,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-COMMIT-COUNT,WS-COMMIT-COUNT,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-COMMIT-THRESHOLD,WS-COMMIT-THRESHOLD,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-SWITCHES,WS-SWITCHES,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-WS-END-OF-FILE-SW,WS-END-OF-FILE-SW,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-END-OF-FILE,END-OF-FILE,HISTLD00_WS,program_ws,1,0,False,False
REC-HISTLD00_WS-MORE-RECORDS,MORE-RECORDS,HISTLD00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-FILE-STATUS,WS-FILE-STATUS,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PSR-STATUS,WS-PSR-STATUS,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-BCT-STATUS,WS-BCT-STATUS,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-WORK-AREAS,WS-WORK-AREAS,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-CURRENT-TIME,WS-CURRENT-TIME,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-SEQUENCE-IX,WS-SEQUENCE-IX,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROCESS-COUNT,WS-PROCESS-COUNT,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-ACTIVE-COUNT,WS-ACTIVE-COUNT,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-ERROR-COUNT,WS-ERROR-COUNT,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROCESS-TABLE,WS-PROCESS-TABLE,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROC-ENTRY,WS-PROC-ENTRY,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROC-ID,WS-PROC-ID,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROC-SEQ,WS-PROC-SEQ,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROC-STATUS,WS-PROC-STATUS,PRCSEQ00_WS,program_ws,1,0,False,False
REC-PRCSEQ00_WS-WS-PROC-RC,WS-PROC-RC,PRCSEQ00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-FILE-STATUS,WS-FILE-STATUS,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-BCT-STATUS,WS-BCT-STATUS,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-PSR-STATUS,WS-PSR-STATUS,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-WORK-AREAS,WS-WORK-AREAS,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-CURRENT-TIME,WS-CURRENT-TIME,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-RECOVERY-MODE,WS-RECOVERY-MODE,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-RECOVER-PROCESS,WS-RECOVER-PROCESS,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-RECOVER-SEQUENCE,WS-RECOVER-SEQUENCE,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-RECOVER-ALL,WS-RECOVER-ALL,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-RECOVERY-ACTION,WS-RECOVERY-ACTION,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-ACTION-RESTART,WS-ACTION-RESTART,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-ACTION-BYPASS,WS-ACTION-BYPASS,RCVPRC00_WS,program_ws,1,0,False,False
REC-RCVPRC00_WS-WS-ACTION-TERMINATE,WS-ACTION-TERMINATE,RCVPRC00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-FILE-STATUS,WS-FILE-STATUS,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-AUDIT-STATUS,WS-AUDIT-STATUS,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-ERROR-STATUS,WS-ERROR-STATUS,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-REPORT-STATUS,WS-REPORT-STATUS,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-REPORT-HEADERS,WS-REPORT-HEADERS,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-HEADER1,WS-HEADER1,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-52,FILLER-52,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-HEADER2,WS-HEADER2,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-54,FILLER-54,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-55,FILLER-55,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-57,FILLER-57,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-HEADER3,WS-HEADER3,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-59,FILLER-59,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-REPORT-DATE,WS-REPORT-DATE,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-61,FILLER-61,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-AUDIT-DETAIL,WS-AUDIT-DETAIL,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-AUD-TIMESTAMP,WS-AUD-TIMESTAMP,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-65,FILLER-65,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-AUD-PROGRAM,WS-AUD-PROGRAM,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-67,FILLER-67,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-AUD-TYPE,WS-AUD-TYPE,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-69,FILLER-69,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-AUD-MESSAGE,WS-AUD-MESSAGE,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-ERROR-DETAIL,WS-ERROR-DETAIL,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-ERR-TIMESTAMP,WS-ERR-TIMESTAMP,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-74,FILLER-74,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-ERR-PROGRAM,WS-ERR-PROGRAM,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-76,FILLER-76,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-ERR-CODE,WS-ERR-CODE,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-FILLER-78,FILLER-78,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTAUD00_WS-WS-ERR-MESSAGE,WS-ERR-MESSAGE,RPTAUD00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-FILE-STATUS,WS-FILE-STATUS,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POSITION-STATUS,WS-POSITION-STATUS,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-TRAN-STATUS,WS-TRAN-STATUS,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-REPORT-STATUS,WS-REPORT-STATUS,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-REPORT-HEADERS,WS-REPORT-HEADERS,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-HEADER1,WS-HEADER1,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-53,FILLER-53,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-HEADER2,WS-HEADER2,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-55,FILLER-55,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-56,FILLER-56,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-58,FILLER-58,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-HEADER3,WS-HEADER3,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-60,FILLER-60,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-REPORT-DATE,WS-REPORT-DATE,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-62,FILLER-62,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POSITION-DETAIL,WS-POSITION-DETAIL,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POS-PORTFOLIO,WS-POS-PORTFOLIO,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-66,FILLER-66,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POS-DESCRIPTION,WS-POS-DESCRIPTION,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-68,FILLER-68,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POS-QUANTITY,WS-POS-QUANTITY,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-70,FILLER-70,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POS-VALUE,WS-POS-VALUE,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-72,FILLER-72,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-WS-POS-CHANGE-PCT,WS-POS-CHANGE-PCT,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTPOS00_WS-FILLER-74,FILLER-74,RPTPOS00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-FILE-STATUS,WS-FILE-STATUS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-STATUS,WS-DB2-STATUS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BCH-STATUS,WS-BCH-STATUS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-REPORT-STATUS,WS-REPORT-STATUS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-REPORT-HEADERS,WS-REPORT-HEADERS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-HEADER1,WS-HEADER1,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-53,FILLER-53,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-HEADER2,WS-HEADER2,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-55,FILLER-55,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-56,FILLER-56,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-58,FILLER-58,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-HEADER3,WS-HEADER3,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-60,FILLER-60,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-REPORT-DATE,WS-REPORT-DATE,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-62,FILLER-62,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-PERFORMANCE-METRICS,WS-PERFORMANCE-METRICS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-METRICS,WS-DB2-METRICS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-CALLS,WS-DB2-CALLS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-ELAPSED,WS-DB2-ELAPSED,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-CPU,WS-DB2-CPU,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-WAIT,WS-DB2-WAIT,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-METRICS,WS-BATCH-METRICS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-JOBS,WS-BATCH-JOBS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-SUCCESS,WS-BATCH-SUCCESS,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-FAILED,WS-BATCH-FAILED,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-ELAPSED,WS-BATCH-ELAPSED,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DETAIL-LINES,WS-DETAIL-LINES,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-DETAIL,WS-DB2-DETAIL,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-78,FILLER-78,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-CALLS-OUT,WS-DB2-CALLS-OUT,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-80,FILLER-80,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-81,FILLER-81,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-DB2-AVG-RESP,WS-DB2-AVG-RESP,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-83,FILLER-83,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-DETAIL,WS-BATCH-DETAIL,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-86,FILLER-86,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-BATCH-TOTAL,WS-BATCH-TOTAL,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-88,FILLER-88,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-89,FILLER-89,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-WS-SUCCESS-RATE,WS-SUCCESS-RATE,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-91,FILLER-91,RPTSTA00_WS,program_ws,1,0,False,False
REC-RPTSTA00_WS-FILLER-92,FILLER-92,RPTSTA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-FILE-STATUS,WS-FILE-STATUS,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-REPORT-STATUS,WS-REPORT-STATUS,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-DB2-AREA,WS-DB2-AREA,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-DATE-DATA,WS-CURRENT-DATE-DATA,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-DATE,WS-CURRENT-DATE,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-YEAR,WS-CURRENT-YEAR,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-MONTH,WS-CURRENT-MONTH,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-DAY,WS-CURRENT-DAY,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-TIME,WS-CURRENT-TIME,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-HOUR,WS-CURRENT-HOUR,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-MINUTE,WS-CURRENT-MINUTE,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-SECOND,WS-CURRENT-SECOND,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-CURRENT-MS,WS-CURRENT-MS,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-ANALYSIS-AREA,WS-ANALYSIS-AREA,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-START-TIME,WS-START-TIME,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-END-TIME,WS-END-TIME,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-PROGRAM-COUNT,WS-PROGRAM-COUNT,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-ERROR-COUNT,WS-ERROR-COUNT,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-WARNING-COUNT,WS-WARNING-COUNT,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-SUCCESS-COUNT,WS-SUCCESS-COUNT,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-SEVERE-COUNT,WS-SEVERE-COUNT,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-REPORT-LINES,WS-REPORT-LINES,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-HEADER1,WS-HEADER1,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-55,FILLER-55,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-HEADER2,WS-HEADER2,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-57,FILLER-57,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-58,FILLER-58,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-60,FILLER-60,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-HEADER3,WS-HEADER3,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-62,FILLER-62,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-RPT-DATE,WS-RPT-DATE,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-64,FILLER-64,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-65,FILLER-65,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-RPT-TIME,WS-RPT-TIME,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-67,FILLER-67,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-WS-DETAIL-HDR,WS-DETAIL-HDR,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-69,FILLER-69,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-70,FILLER-70,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-71,FILLER-71,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-72,FILLER-72,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-73,FILLER-73,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-74,FILLER-74,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-75,FILLER-75,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-76,FILLER-76,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-77,FILLER-77,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-78,FILLER-78,RTNANA00_WS,program_ws,1,0,False,False
REC-RTNANA00_WS-FILLER-79,FILLER-79,RTNANA00_WS,program_ws,1,0,False,False
