condition_id,condition_name,parent_field,parent_record,values_raw,programs_in_scope,condition_group_size
COND::RC-SUCCESS::RETURN-CODE,RC-SUCCESS,RETURN-CODE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::RC-WARNING::RETURN-CODE,RC-WARNING,RETURN-CODE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::RC-ERROR::RETURN-CODE,RC-ERROR,RETURN-CODE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::RC-SEVERE::RETURN-CODE,RC-SEVERE,RETURN-CODE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::RC-CRITICAL::RETURN-CODE,RC-CRITICAL,RETURN-CODE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ERR-VALIDATION::ERROR-TYPE,ERR-VALIDATION,ERROR-TYPE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ERR-PROCESSING::ERROR-TYPE,ERR-PROCESSING,ERROR-TYPE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ERR-DATABASE::ERROR-TYPE,ERR-DATABASE,ERROR-TYPE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ERR-FILE::ERROR-TYPE,ERR-FILE,ERROR-TYPE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ERR-SECURITY::ERROR-TYPE,ERR-SECURITY,ERROR-TYPE,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ACTION-CONTINUE::ACTION-FLAG,ACTION-CONTINUE,ACTION-FLAG,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ACTION-ABORT::ACTION-FLAG,ACTION-ABORT,ACTION-FLAG,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::ACTION-RETRY::ACTION-FLAG,ACTION-RETRY,ACTION-FLAG,REC-RETHND-RETURN-HANDLING,[],CKPRST,1
COND::RC-INITIALIZE::RC-REQUEST-TYPE,RC-INITIALIZE,RC-REQUEST-TYPE,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-SET-CODE::RC-REQUEST-TYPE,RC-SET-CODE,RC-REQUEST-TYPE,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-GET-CODE::RC-REQUEST-TYPE,RC-GET-CODE,RC-REQUEST-TYPE,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-LOG-CODE::RC-REQUEST-TYPE,RC-LOG-CODE,RC-REQUEST-TYPE,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-ANALYZE::RC-REQUEST-TYPE,RC-ANALYZE,RC-REQUEST-TYPE,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-STATUS-SUCCESS::RC-STATUS,RC-STATUS-SUCCESS,RC-STATUS,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-STATUS-WARNING::RC-STATUS,RC-STATUS-WARNING,RC-STATUS,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-STATUS-ERROR::RC-STATUS,RC-STATUS-ERROR,RC-STATUS,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::RC-STATUS-SEVERE::RC-STATUS,RC-STATUS-SEVERE,RC-STATUS,REC-RTNCODE-RETURN-CODE-AREA,[],RTNCDE00,1
COND::TRN-TYPE-BUY::TRN-TYPE,TRN-TYPE-BUY,TRN-TYPE,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-TYPE-SELL::TRN-TYPE,TRN-TYPE-SELL,TRN-TYPE,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-TYPE-TRANS::TRN-TYPE,TRN-TYPE-TRANS,TRN-TYPE,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-TYPE-FEE::TRN-TYPE,TRN-TYPE-FEE,TRN-TYPE,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-STATUS-PEND::TRN-STATUS,TRN-STATUS-PEND,TRN-STATUS,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-STATUS-DONE::TRN-STATUS,TRN-STATUS-DONE,TRN-STATUS,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-STATUS-FAIL::TRN-STATUS,TRN-STATUS-FAIL,TRN-STATUS,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::TRN-STATUS-REV::TRN-STATUS,TRN-STATUS-REV,TRN-STATUS,REC-TRNREC-TRANSACTION-RECORD,[],,1
COND::EL-TYPE-SYSTEM::EL-ERROR-TYPE,EL-TYPE-SYSTEM,EL-ERROR-TYPE,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::EL-TYPE-APP::EL-ERROR-TYPE,EL-TYPE-APP,EL-ERROR-TYPE,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::EL-TYPE-DATA::EL-ERROR-TYPE,EL-TYPE-DATA,EL-ERROR-TYPE,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::EL-SEV-INFO::EL-ERROR-SEVERITY,EL-SEV-INFO,EL-ERROR-SEVERITY,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::EL-SEV-WARN::EL-ERROR-SEVERITY,EL-SEV-WARN,EL-ERROR-SEVERITY,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::EL-SEV-ERROR::EL-ERROR-SEVERITY,EL-SEV-ERROR,EL-ERROR-SEVERITY,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::EL-SEV-SEVERE::EL-ERROR-SEVERITY,EL-SEV-SEVERE,EL-ERROR-SEVERITY,REC-DBTBLS-ERRLOG-RECORD,[],DB2ERR,1
COND::DB2-CONNECT::DB2-REQUEST-TYPE,DB2-CONNECT,DB2-REQUEST-TYPE,REC-DB2REQ-DB2-REQUEST-AREA,[],DB2RECV,1
COND::DB2-DISCONNECT::DB2-REQUEST-TYPE,DB2-DISCONNECT,DB2-REQUEST-TYPE,REC-DB2REQ-DB2-REQUEST-AREA,[],DB2RECV,1
COND::DB2-STATUS::DB2-REQUEST-TYPE,DB2-STATUS,DB2-REQUEST-TYPE,REC-DB2REQ-DB2-REQUEST-AREA,[],DB2RECV,1
COND::ERR-FATAL::ERR-SEVERITY,ERR-FATAL,ERR-SEVERITY,REC-ERRHND-ERROR-HANDLING,[],,1
COND::ERR-WARNING::ERR-SEVERITY,ERR-WARNING,ERR-SEVERITY,REC-ERRHND-ERROR-HANDLING,[],,1
COND::ERR-INFO::ERR-SEVERITY,ERR-INFO,ERR-SEVERITY,REC-ERRHND-ERROR-HANDLING,[],,1
COND::ERR-RETURN::ERR-ACTION,ERR-RETURN,ERR-ACTION,REC-ERRHND-ERROR-HANDLING,[],,1
COND::ERR-CONTINUE::ERR-ACTION,ERR-CONTINUE,ERR-ACTION,REC-ERRHND-ERROR-HANDLING,[],,1
COND::ERR-ABEND::ERR-ACTION,ERR-ABEND,ERR-ACTION,REC-ERRHND-ERROR-HANDLING,[],,1
COND::INQCOM-MENU::INQCOM-FUNCTION,INQCOM-MENU,INQCOM-FUNCTION,REC-INQCOM-INQCOM-AREA,[],INQHIST|INQONLN|INQPORT,1
COND::INQCOM-PORTFOLIO::INQCOM-FUNCTION,INQCOM-PORTFOLIO,INQCOM-FUNCTION,REC-INQCOM-INQCOM-AREA,[],INQHIST|INQONLN|INQPORT,1
COND::INQCOM-HISTORY::INQCOM-FUNCTION,INQCOM-HISTORY,INQCOM-FUNCTION,REC-INQCOM-INQCOM-AREA,[],INQHIST|INQONLN|INQPORT,1
COND::INQCOM-EXIT::INQCOM-FUNCTION,INQCOM-EXIT,INQCOM-FUNCTION,REC-INQCOM-INQCOM-AREA,[],INQHIST|INQONLN|INQPORT,1
COND::PSR-TYPE-INIT::PSR-TYPE,PSR-TYPE-INIT,PSR-TYPE,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-TYPE-PROC::PSR-TYPE,PSR-TYPE-PROC,PSR-TYPE,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-TYPE-RPT::PSR-TYPE,PSR-TYPE-RPT,PSR-TYPE,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-TYPE-TERM::PSR-TYPE,PSR-TYPE-TERM,PSR-TYPE,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-DAILY::PSR-FREQ,PSR-DAILY,PSR-FREQ,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-WEEKLY::PSR-FREQ,PSR-WEEKLY,PSR-FREQ,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-MONTHLY::PSR-FREQ,PSR-MONTHLY,PSR-FREQ,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-DEP-HARD::PSR-DEP-TYPE,PSR-DEP-HARD,PSR-DEP-TYPE,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-DEP-SOFT::PSR-DEP-TYPE,PSR-DEP-SOFT,PSR-DEP-TYPE,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-RESTARTABLE::PSR-RESTART,PSR-RESTARTABLE,PSR-RESTART,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-NO-RESTART::PSR-RESTART,PSR-NO-RESTART,PSR-RESTART,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-WEEKDAY::PSR-ACTIVE-DAYS,PSR-WEEKDAY,PSR-ACTIVE-DAYS,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-WEEKEND::PSR-ACTIVE-DAYS,PSR-WEEKEND,PSR-ACTIVE-DAYS,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-ALL-DAYS::PSR-ACTIVE-DAYS,PSR-ALL-DAYS,PSR-ACTIVE-DAYS,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-LAST-DAY::PSR-MONTH-END,PSR-LAST-DAY,PSR-MONTH-END,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-SKIP-HOL::PSR-HOLIDAY-RUN,PSR-SKIP-HOL,PSR-HOLIDAY-RUN,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
COND::PSR-RUN-HOL::PSR-HOLIDAY-RUN,PSR-RUN-HOL,PSR-HOLIDAY-RUN,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,[],,1
