:START_ID,section,:END_ID,:TYPE
DB2ERR,2000-DIAGNOSE-ERROR,DB2ERR::2000-DIAGNOSE-ERROR,CONTAINS
DB2ERR,3000-RETRIEVE-ERROR,DB2ERR::3000-RETRIEVE-ERROR,CONTAINS
DB2ERR,9000-ERROR-ROUTINE,DB2ERR::9000-ERROR-ROUTINE,CONTAINS
DB2STAT,0000-MAIN,DB2STAT::0000-MAIN,CONTAINS
DB2STAT,1000-INITIALIZE,DB2STAT::1000-INITIALIZE,CONTAINS
DB2STAT,1100-CREATE-STATS-TABLE,DB2STAT::1100-CREATE-STATS-TABLE,CONTAINS
DB2STAT,1200-INSERT-INITIAL,DB2STAT::1200-INSERT-INITIAL,CONTAINS
DB2STAT,2000-UPDATE-STATS,DB2STAT::2000-UPDATE-STATS,CONTAINS
DB2STAT,3000-TERMINATE,DB2STAT::3000-TERMINATE,CONTAINS
DB2STAT,3100-CALC-TIMES,DB2STAT::3100-CALC-TIMES,CONTAINS
DB2STAT,4000-DISPLAY-STATS,DB2STAT::4000-DISPLAY-STATS,CONTAINS
DB2STAT,9000-ERROR-ROUTINE,DB2STAT::9000-ERROR-ROUTINE,CONTAINS
ERRPROC,0000-MAIN,ERRPROC::0000-MAIN,CONTAINS
ERRPROC,1000-INITIALIZE,ERRPROC::1000-INITIALIZE,CONTAINS
ERRPROC,2000-PROCESS-ERROR,ERRPROC::2000-PROCESS-ERROR,CONTAINS
ERRPROC,2100-WRITE-LOG,ERRPROC::2100-WRITE-LOG,CONTAINS
ERRPROC,2200-DISPLAY-ERROR,ERRPROC::2200-DISPLAY-ERROR,CONTAINS
ERRPROC,3000-TERMINATE,ERRPROC::3000-TERMINATE,CONTAINS
CURSMGR,END-EXEC,CURSMGR::END-EXEC,CONTAINS
CURSMGR,P100-DECLARE-CURSOR,CURSMGR::P100-DECLARE-CURSOR,CONTAINS
CURSMGR,P100-EXIT,CURSMGR::P100-EXIT,CONTAINS
CURSMGR,P200-OPEN-CURSOR,CURSMGR::P200-OPEN-CURSOR,CONTAINS
DB2ONLN,END-EXEC,DB2ONLN::END-EXEC,CONTAINS
DB2ONLN,P100-EXIT,DB2ONLN::P100-EXIT,CONTAINS
DB2ONLN,P100-PROCESS-CONNECT,DB2ONLN::P100-PROCESS-CONNECT,CONTAINS
DB2ONLN,P110-ESTABLISH-CONNECTION,DB2ONLN::P110-ESTABLISH-CONNECTION,CONTAINS
DB2ONLN,P110-EXIT,DB2ONLN::P110-EXIT,CONTAINS
DB2ONLN,P120-EXIT,DB2ONLN::P120-EXIT,CONTAINS
DB2ONLN,P120-GENERATE-TOKEN,DB2ONLN::P120-GENERATE-TOKEN,CONTAINS
DB2ONLN,P200-EXIT,DB2ONLN::P200-EXIT,CONTAINS
DB2ONLN,P200-PROCESS-DISCONNECT,DB2ONLN::P200-PROCESS-DISCONNECT,CONTAINS
DB2ONLN,P300-CHECK-STATUS,DB2ONLN::P300-CHECK-STATUS,CONTAINS
DB2ONLN,P300-EXIT,DB2ONLN::P300-EXIT,CONTAINS
DB2RECV,END-EXEC,DB2RECV::END-EXEC,CONTAINS
DB2RECV,END-PERFORM,DB2RECV::END-PERFORM,CONTAINS
DB2RECV,P100-EXIT,DB2RECV::P100-EXIT,CONTAINS
DB2RECV,P100-RECOVER-CONNECTION,DB2RECV::P100-RECOVER-CONNECTION,CONTAINS
DB2RECV,P110-ATTEMPT-RECONNECT,DB2RECV::P110-ATTEMPT-RECONNECT,CONTAINS
DB2RECV,P110-EXIT,DB2RECV::P110-EXIT,CONTAINS
DB2RECV,P120-EXIT,DB2RECV::P120-EXIT,CONTAINS
DB2RECV,P120-WAIT-INTERVAL,DB2RECV::P120-WAIT-INTERVAL,CONTAINS
DB2RECV,P200-EXIT,DB2RECV::P200-EXIT,CONTAINS
DB2RECV,P200-RECOVER-TRANSACTION,DB2RECV::P200-RECOVER-TRANSACTION,CONTAINS
DB2RECV,P300-EXIT,DB2RECV::P300-EXIT,CONTAINS
DB2RECV,P300-RECOVER-CURSOR,DB2RECV::P300-RECOVER-CURSOR,CONTAINS
ERRHNDL,END-EXEC,ERRHNDL::END-EXEC,CONTAINS
ERRHNDL,P100-EXIT,ERRHNDL::P100-EXIT,CONTAINS
ERRHNDL,P100-INIT-ERROR-HANDLER,ERRHNDL::P100-INIT-ERROR-HANDLER,CONTAINS
ERRHNDL,P200-EXIT,ERRHNDL::P200-EXIT,CONTAINS
ERRHNDL,P200-LOG-ERROR,ERRHNDL::P200-LOG-ERROR,CONTAINS
ERRHNDL,P300-EXIT,ERRHNDL::P300-EXIT,CONTAINS
ERRHNDL,P300-FORMAT-MESSAGE,ERRHNDL::P300-FORMAT-MESSAGE,CONTAINS
ERRHNDL,P400-DETERMINE-ACTION,ERRHNDL::P400-DETERMINE-ACTION,CONTAINS
ERRHNDL,P400-EXIT,ERRHNDL::P400-EXIT,CONTAINS
INQHIST,END-EXEC,INQHIST::END-EXEC,CONTAINS
INQHIST,P100-EXIT,INQHIST::P100-EXIT,CONTAINS
INQHIST,P100-INIT-PROGRAM,INQHIST::P100-INIT-PROGRAM,CONTAINS
INQHIST,P150-DB2-CONNECT,INQHIST::P150-DB2-CONNECT,CONTAINS
INQHIST,P150-EXIT,INQHIST::P150-EXIT,CONTAINS
INQHIST,P200-EXIT,INQHIST::P200-EXIT,CONTAINS
INQHIST,P200-GET-HISTORY,INQHIST::P200-GET-HISTORY,CONTAINS
INQHIST,P250-EXIT,INQHIST::P250-EXIT,CONTAINS
INQHIST,P250-FETCH-HISTORY,INQHIST::P250-FETCH-HISTORY,CONTAINS
INQHIST,P300-EXIT,INQHIST::P300-EXIT,CONTAINS
INQHIST,P300-FORMAT-DISPLAY,INQHIST::P300-FORMAT-DISPLAY,CONTAINS
INQHIST,P999-ERROR-ROUTINE,INQHIST::P999-ERROR-ROUTINE,CONTAINS
INQHIST,P999-EXIT,INQHIST::P999-EXIT,CONTAINS
INQONLN,END-EXEC,INQONLN::END-EXEC,CONTAINS
INQONLN,P050-EXIT,INQONLN::P050-EXIT,CONTAINS
INQONLN,P050-SECURITY-CHECK,INQONLN::P050-SECURITY-CHECK,CONTAINS
INQONLN,P100-EXIT,INQONLN::P100-EXIT,CONTAINS
INQONLN,P100-PROCESS-REQUEST,INQONLN::P100-PROCESS-REQUEST,CONTAINS
INQONLN,P200-DISPLAY-MENU,INQONLN::P200-DISPLAY-MENU,CONTAINS
INQONLN,P200-EXIT,INQONLN::P200-EXIT,CONTAINS
INQONLN,P300-EXIT,INQONLN::P300-EXIT,CONTAINS
INQONLN,P300-PORTFOLIO-INQUIRY,INQONLN::P300-PORTFOLIO-INQUIRY,CONTAINS
INQONLN,P400-EXIT,INQONLN::P400-EXIT,CONTAINS
INQONLN,P400-HISTORY-INQUIRY,INQONLN::P400-HISTORY-INQUIRY,CONTAINS
INQONLN,P900-ERROR-ROUTINE,INQONLN::P900-ERROR-ROUTINE,CONTAINS
INQONLN,P900-EXIT,INQONLN::P900-EXIT,CONTAINS
INQPORT,END-EXEC,INQPORT::END-EXEC,CONTAINS
INQPORT,P100-EXIT,INQPORT::P100-EXIT,CONTAINS
INQPORT,P100-INIT-PROGRAM,INQPORT::P100-INIT-PROGRAM,CONTAINS
INQPORT,P200-EXIT,INQPORT::P200-EXIT,CONTAINS
INQPORT,P200-GET-POSITION,INQPORT::P200-GET-POSITION,CONTAINS
INQPORT,P300-EXIT,INQPORT::P300-EXIT,CONTAINS
INQPORT,P300-FORMAT-DISPLAY,INQPORT::P300-FORMAT-DISPLAY,CONTAINS
INQPORT,P900-EXIT,INQPORT::P900-EXIT,CONTAINS
INQPORT,P900-NOT-FOUND,INQPORT::P900-NOT-FOUND,CONTAINS
INQPORT,P999-ERROR-ROUTINE,INQPORT::P999-ERROR-ROUTINE,CONTAINS
INQPORT,P999-EXIT,INQPORT::P999-EXIT,CONTAINS
SECMGR,END-EXEC,SECMGR::END-EXEC,CONTAINS
SECMGR,P100-EXIT,SECMGR::P100-EXIT,CONTAINS
SECMGR,P100-VALIDATE-USER,SECMGR::P100-VALIDATE-USER,CONTAINS
SECMGR,P200-CHECK-AUTH,SECMGR::P200-CHECK-AUTH,CONTAINS
SECMGR,P200-EXIT,SECMGR::P200-EXIT,CONTAINS
SECMGR,P300-EXIT,SECMGR::P300-EXIT,CONTAINS
SECMGR,P300-LOG-ACCESS,SECMGR::P300-LOG-ACCESS,CONTAINS
PORTADD,0000-MAIN,PORTADD::0000-MAIN,CONTAINS
PORTADD,1000-INITIALIZE,PORTADD::1000-INITIALIZE,CONTAINS
PORTADD,2000-PROCESS,PORTADD::2000-PROCESS,CONTAINS
PORTADD,2100-VALIDATE-AND-ADD,PORTADD::2100-VALIDATE-AND-ADD,CONTAINS
PORTADD,3000-TERMINATE,PORTADD::3000-TERMINATE,CONTAINS
PORTDEL,0000-MAIN,PORTDEL::0000-MAIN,CONTAINS
PORTDEL,1000-INITIALIZE,PORTDEL::1000-INITIALIZE,CONTAINS
PORTDEL,2000-PROCESS,PORTDEL::2000-PROCESS,CONTAINS
PORTDEL,2100-PROCESS-DELETE,PORTDEL::2100-PROCESS-DELETE,CONTAINS
PORTDEL,2200-DELETE-RECORD,PORTDEL::2200-DELETE-RECORD,CONTAINS
PORTDEL,2300-WRITE-AUDIT,PORTDEL::2300-WRITE-AUDIT,CONTAINS
PORTDEL,3000-TERMINATE,PORTDEL::3000-TERMINATE,CONTAINS
PORTMSTR,0000-MAIN,PORTMSTR::0000-MAIN,CONTAINS
PORTMSTR,1000-INITIALIZE,PORTMSTR::1000-INITIALIZE,CONTAINS
PORTMSTR,2000-CREATE-PORTFOLIO,PORTMSTR::2000-CREATE-PORTFOLIO,CONTAINS
PORTMSTR,2100-HANDLE-VSAM-ERROR,PORTMSTR::2100-HANDLE-VSAM-ERROR,CONTAINS
PORTMSTR,2100-LOG-PORTFOLIO-UPDATE,PORTMSTR::2100-LOG-PORTFOLIO-UPDATE,CONTAINS
PORTMSTR,2100-VALIDATE-PORTFOLIO,PORTMSTR::2100-VALIDATE-PORTFOLIO,CONTAINS
PORTMSTR,3000-READ-PORTFOLIO,PORTMSTR::3000-READ-PORTFOLIO,CONTAINS
PORTMSTR,4000-UPDATE-PORTFOLIO,PORTMSTR::4000-UPDATE-PORTFOLIO,CONTAINS
PORTMSTR,5000-DELETE-PORTFOLIO,PORTMSTR::5000-DELETE-PORTFOLIO,CONTAINS
PORTMSTR,6000-TERMINATE,PORTMSTR::6000-TERMINATE,CONTAINS
PORTMSTR,9000-ERROR,PORTMSTR::9000-ERROR,CONTAINS
PORTREAD,0000-MAIN,PORTREAD::0000-MAIN,CONTAINS
PORTREAD,1000-INITIALIZE,PORTREAD::1000-INITIALIZE,CONTAINS
PORTREAD,2000-PROCESS,PORTREAD::2000-PROCESS,CONTAINS
PORTREAD,2100-DISPLAY-RECORD,PORTREAD::2100-DISPLAY-RECORD,CONTAINS
PORTREAD,3000-TERMINATE,PORTREAD::3000-TERMINATE,CONTAINS
PORTTEST,0000-MAIN,PORTTEST::0000-MAIN,CONTAINS
PORTTEST,1000-INITIALIZE,PORTTEST::1000-INITIALIZE,CONTAINS
PORTTEST,2000-GENERATE-RECORDS,PORTTEST::2000-GENERATE-RECORDS,CONTAINS
PORTTEST,2100-GENERATE-KEY,PORTTEST::2100-GENERATE-KEY,CONTAINS
PORTTEST,2200-GENERATE-CLIENT-INFO,PORTTEST::2200-GENERATE-CLIENT-INFO,CONTAINS
PORTTEST,2300-GENERATE-PORTFOLIO-INFO,PORTTEST::2300-GENERATE-PORTFOLIO-INFO,CONTAINS
PORTTEST,2400-GENERATE-FINANCIAL-INFO,PORTTEST::2400-GENERATE-FINANCIAL-INFO,CONTAINS
PORTTEST,3000-TERMINATE,PORTTEST::3000-TERMINATE,CONTAINS
PORTTRAN,0000-MAIN,PORTTRAN::0000-MAIN,CONTAINS
PORTTRAN,1000-INITIALIZE,PORTTRAN::1000-INITIALIZE,CONTAINS
PORTTRAN,2000-PROCESS-TRANSACTIONS,PORTTRAN::2000-PROCESS-TRANSACTIONS,CONTAINS
PORTTRAN,2100-VALIDATE-TRANSACTION,PORTTRAN::2100-VALIDATE-TRANSACTION,CONTAINS
PORTTRAN,2110-CHECK-PORTFOLIO,PORTTRAN::2110-CHECK-PORTFOLIO,CONTAINS
PORTTRAN,2120-CHECK-TRANSACTION-TYPE,PORTTRAN::2120-CHECK-TRANSACTION-TYPE,CONTAINS
PORTTRAN,2130-CHECK-AMOUNTS,PORTTRAN::2130-CHECK-AMOUNTS,CONTAINS
PORTTRAN,2200-UPDATE-POSITIONS,PORTTRAN::2200-UPDATE-POSITIONS,CONTAINS
PORTTRAN,2210-PROCESS-BUY,PORTTRAN::2210-PROCESS-BUY,CONTAINS
PORTTRAN,2220-PROCESS-SELL,PORTTRAN::2220-PROCESS-SELL,CONTAINS
PORTTRAN,2230-PROCESS-TRANSFER,PORTTRAN::2230-PROCESS-TRANSFER,CONTAINS
PORTTRAN,2240-PROCESS-FEE,PORTTRAN::2240-PROCESS-FEE,CONTAINS
PORTTRAN,2300-UPDATE-AUDIT-TRAIL,PORTTRAN::2300-UPDATE-AUDIT-TRAIL,CONTAINS
